Action Rotate,Action Translate,Action Scale,World Coordinates,Local Coordinates,Camera Projection Coordinates,Action Select,Lightning,Save Project,Open Project,Create Project,Reload Project,Undo Last Action,Redo Last Action,Open IDE,Reload Game,Build Project,Build N Run Project,Cancel Build,Create Package,Create Folder,Display Properties,Rename Package,Rename Folder,Delete Selected Item,Expand Asset Folders,Expand All,Collapse All,Show in Explorer
Rotar,Move,Redimensionar,Mundo,Local Coordinate,Camara Coordenadas,Escoger,Alumbrado,Grabar,Open,Create P,Reload Project,Undo,Rehacer accion,Abrir IDE,Game Reload,Build Project,Construir y Correr,Cancelar Build,Crear Paquete,Folder Crear,Property Display,Renombrar Paquete,Rename Folder,Item Borrar,Folder Expandir,Todos Expandir,Collapse All,Explorer Show
Voltear,Translate,Calibrar,Coordenada Mundo,Local Coordinate,Camara,Escoger,Iluminacion,Grabar,Iniciar,Crear Proyecto,Proyecto Recargar,Deshacer accion,Rehacer,Abrir IDE,Juego Recargar,Build Project,Contruir y Comenzar,Build Cancelar,Crear Paquete,Folder Crear,Mostrar Propiedades,Package Rename,Folder Renombrar,Borrar Item,Folder Expandir,Expandir Todos,Collapsar Todos,Explorador Mostrar
Girar,Move,Scale,Coordenadas Mundo,Coordenadas Local,Camera Coordinates,Seleccionar,Iluminacion,Grabar,Iniciar,Proyecto Crear,Reload P,Undo Last Action,Redo,Open IDE,Juego Recargar,Proyecto Construir,Construir y Correr,Cancel Build,Crear Paquete,Crear Folder,Propiedades Mostrar,Renombrar Paquete,Package Folder,Item Delete,Folder Expandir,All Expand,Todos Collapsar,Show in Explorer
Rotar,Mover,Calibrar,Coordenadas Mundo,Locales,Camara Coordenadas,Destacar,Luz,Guardar,Iniciar,Create P,Reload P,Deshacer accion,Rehacer accion,Open IDE,Game Reload,Build Project,Contruir y Comenzar,Cancelar Build,Crear Paquete,Folder Crear,Property Display,Renombrar Paquete,Package Folder,Item Delete,Folder Expandir,Expandir Todos,Collapsar Todos,Explorer Show
Girar,Translate,Scale,World Coordinate,Locales,Coordenada Camara,Seleccionar,Alumbrado,Registrar,Iniciar,Create P,Reload Project,Deshacer,Redo Last Action,Open IDE,Recargar Juego,Proyecto Construir,Build and Run,Cancelar Build,Paquete Crear,Folder Create,Propiedades Mostrar,Package Rename,Renombrar Folder,Item Delete,Folder Expand,Todos Expandir,Collapsar Todos,Explorador Mostrar
Girar,Mover,Redimensionar,Coordenadas Mundo,Local,Coordenadas Camara,Elegir,Iluminacion,Save,Empezar,Crear Proyecto,Reload P,Deshacer,Rehacer accion,Abrir IDE,Game Reload,Build,Build and Start,Cancelar Build,Package Create,Create Folder,Mostrar Propiedades,Rename Package,Renombrar Folder,Item Borrar,Expandir Folder,Expandir Todos,Collapse All,Explorer Show
Rotate,Move,Calibrar,Mundo,Coordenadas Local,Coordenada Camara,Destacar,Luz,Save,Empezar,Create P,Recargar Proyecto,Undo Last Action,Rehacer,Abrir IDE,Reload Game,Build Project,Build and Start,Cancel Build,Create Package,Crear Folder,Mostrar Propiedades,Renombrar Paquete,Folder Renombrar,Delete Item,Expandir Folder,Todos Expandir,Collapsar Todos,Show in Explorer
Voltear,Move,Escalar,World View,Locales,Camara Coordenadas,Destacar,Iluminacion,Grabar,Iniciar,Crear Proyecto,Recargar Proyecto,Undo Last Action,Rehacer,IDE,Juego Recargar,Build,Contruir y Comenzar,Cancel Build,Paquete Crear,Folder Create,Mostrar Propiedades,Renombrar Paquete,Rename Folder,Delete Item,Folder Expand,Expandir Todos,Todos Collapsar,Mostrar en Explorador
Voltear,Move,Calibrar,World Coordinate,Coordenadas Local,Camara Coordenada,Seleccionar,Alumbrado,Grabar,Empezar,Create Project,Proyecto Recargar,Undo,Rehacer,Abrir IDE,Recargar Juego,Build,Build and Start,Cancelar Build,Paquete Crear,Crear Folder,Mostrar Propiedades,Renombrar Paquete,Package Folder,Borrar Item,Folder Expand,Expand All,Collapsar Todos,Explorador Mostrar
Rotate,Move,Redimensionar,Coordenadas Mundo,Local Coordinate,Coordenada Camara,Seleccionar,Light,Guardar,Iniciar,Crear Proyecto,Reload P,Deshacer accion,Rehacer,Abrir IDE,Juego Recargar,Proyecto Construir,Construir y Correr,Build Cancelar,Crear Paquete,Create Folder,Propiedades Mostrar,Renombrar Paquete,Renombrar Folder,Item Delete,Expand Folder,Expand All,Collapse All,Show in Explorer
Rotate,Mover,Calibrar,World View,Coordenada Local,Camara,Destacar,Iluminacion,Save,Iniciar,Create Project,Proyecto Recargar,Deshacer accion,Rehacer accion,IDE,Recargar Juego,Contruir Proyecto,Build and Run,Build Cancelar,Package Create,Folder Crear,Mostrar Propiedades,Package Rename,Package Folder,Delete Item,Expandir Folder,All Expand,Todos Collapsar,Explorador Mostrar
Rotar,Transladar,Scale,Coordenadas Mundo,Local,Coordenadas Camara,Escoger,Light,Grabar,Iniciar,Proyecto Crear,Reload Project,Deshacer,Rehacer,IDE,Juego Recargar,Contruir Proyecto,Build and Run,Build Cancelar,Create Package,Folder Create,Display Property,Paquete Renombrar,Renombrar Folder,Item Delete,Folder Expandir,Expandir Todos,Todos Collapsar,Explorer Show
Girar,Mover,Redimensionar,World View,Local Coordinates,Coordenadas Camara,Elegir,Iluminacion,Guardar,Open,Create P,Proyecto Recargar,Deshacer accion,Redo Last Action,Open IDE,Game Reload,Build Project,Construir y Correr,Cancelar Build,Paquete Crear,Folder Crear,Property Display,Renombrar Paquete,Rename Folder,Delete Item,Expandir Folder,Todos Expandir,Collapsar Todos,Explorador Mostrar
Voltear,Translate,Scale,Mundo,Locales,Coordenadas Camara,Seleccionar,Alumbrado,Save,Abrir,Create P,Proyecto Recargar,Deshacer accion,Rehacer accion,Open IDE,Juego Recargar,Proyecto Construir,Build and Start,Cancel Build,Package Create,Crear Folder,Property Display,Package Rename,Package Folder,Item Delete,Folder Expand,Expand All,Collapsar Todos,Explorador Mostrar
Girar,Mover,Redimensionar,World Coordinate,Local,Coordenada Camara,Escoger,Light,Save,Open,Crear Proyecto,Proyecto Recargar,Undo,Redo,IDE,Game Reload,Contruir Proyecto,Construir y Correr,Cancelar Build,Crear Paquete,Folder Crear,Property Display,Paquete Renombrar,Renombrar Folder,Item Borrar,Expandir Folder,Todos Expandir,Collapsar Todos,Explorador Mostrar
Girar,Move,Scale,Coordenadas Mundo,Locales,Camara Coordenadas,Elegir,Alumbrado,Guardar,Open,Crear Proyecto,Recargar Proyecto,Undo Last Action,Rehacer accion,Open IDE,Game Reload,Build,Contruir y Comenzar,Build Cancel,Paquete Crear,Folder Create,Propiedades Mostrar,Paquete Renombrar,Package Folder,Item Delete,Folder Expandir,Expandir Todos,Todos Collapsar,Explorador Mostrar
Rotate,Transladar,Escalar,Coordenada Mundo,Local Coordinates,Coordenada Camara,Destacar,Alumbrado,Grabar,Abrir,Crear Proyecto,Recargar Proyecto,Undo,Rehacer accion,Open IDE,Game Reload,Contruir Proyecto,Build and Start,Build Cancelar,Crear Paquete,Folder Crear,Property Display,Package Rename,Folder Renombrar,Item Borrar,Folder Expand,All Expand,All Collapse,Explorer Show
Girar,Transladar,Scale,Mundo,Coordenada Local,Coordenadas Camara,Elegir,Iluminacion,Grabar,Iniciar,Create P,Recargar Proyecto,Deshacer accion,Rehacer,Abrir IDE,Juego Recargar,Build,Construir y Correr,Build Cancelar,Crear Paquete,Create Folder,Propiedades Mostrar,Paquete Renombrar,Folder Renombrar,Item Borrar,Expandir Folder,Expandir Todos,Todos Collapsar,Explorer Show
Rotar,Transladar,Redimensionar,Mundo,Locales,Camara Coordenadas,Seleccionar,Luz,Grabar,Iniciar,Create P,Reload P,Undo Last Action,Rehacer accion,Abrir IDE,Juego Recargar,Proyecto Construir,Build and Start,Cancel Build,Package Create,Folder Crear,Property Display,Paquete Renombrar,Package Folder,Borrar Item,Expand Folder,All Expand,Todos Collapsar,Mostrar en Explorador
Girar,Translate,Calibrar,Coordenada Mundo,Local Coordinate,Camera Coordinates,Escoger,Luz,Registrar,Abrir,Crear Proyecto,Recargar Proyecto,Deshacer,Redo Last Action,Abrir IDE,Game Reload,Build,Construir y Correr,Cancelar Build,Crear Paquete,Folder Crear,Mostrar Propiedades,Rename Package,Renombrar Folder,Borrar Item,Folder Expandir,Expandir Todos,All Collapse,Show in Explorer
Rotar,Move,Escalar,World Coordinate,Local,Camara,Elegir,Luz,Save,Open,Proyecto Crear,Proyecto Recargar,Undo,Rehacer accion,Abrir IDE,Recargar Juego,Build,Build and Start,Cancel Build,Package Create,Crear Folder,Propiedades Mostrar,Package Rename,Renombrar Folder,Borrar Item,Folder Expand,Expand All,All Collapse,Show in Explorer
Voltear,Transladar,Escalar,Coordenadas Mundo,Locales,Camara Coordenada,Destacar,Iluminacion,Save,Iniciar,Crear Proyecto,Recargar Proyecto,Undo,Rehacer,Open IDE,Juego Recargar,Contruir Proyecto,Contruir y Comenzar,Cancelar Build,Create Package,Crear Folder,Property Display,Renombrar Paquete,Folder Renombrar,Delete Item,Folder Expand,All Expand,Collapsar Todos,Explorador Mostrar
Rotate,Transladar,Scale,Mundo,Coordenadas Local,Coordenadas Camara,Destacar,Iluminacion,Registrar,Open,Crear Proyecto,Recargar Proyecto,Deshacer accion,Redo Last Action,Open IDE,Game Reload,Build,Construir y Correr,Build Cancel,Package Create,Create Folder,Propiedades Mostrar,Rename Package,Package Folder,Borrar Item,Expand Folder,Expandir Todos,Collapsar Todos,Mostrar en Explorador
Rotate,Mover,Scale,World View,Locales,Camara Coordenadas,Escoger,Luz,Grabar,Iniciar,Create P,Reload P,Undo Last Action,Rehacer accion,IDE,Game Reload,Build Project,Contruir y Comenzar,Cancelar Build,Create Package,Folder Crear,Mostrar Propiedades,Renombrar Paquete,Renombrar Folder,Item Delete,Folder Expandir,Todos Expandir,Collapse All,Explorer Show
Voltear,Translate,Scale,World Coordinates,Locales,Camara,Seleccionar,Alumbrado,Grabar,Iniciar,Create P,Reload P,Undo,Redo,IDE,Juego Recargar,Build,Contruir y Comenzar,Cancelar Build,Package Create,Folder Crear,Property Display,Paquete Renombrar,Package Folder,Borrar Item,Folder Expand,All Expand,Collapsar Todos,Mostrar en Explorador
Girar,Move,Calibrar,World Coordinate,Locales,Camera Coordinates,Elegir,Iluminacion,Save,Iniciar,Create Project,Proyecto Recargar,Undo Last Action,Redo,Abrir IDE,Juego Recargar,Contruir Proyecto,Build and Run,Build Cancel,Crear Paquete,Folder Create,Propiedades Mostrar,Renombrar Paquete,Folder Renombrar,Borrar Item,Folder Expandir,Expandir Todos,Collapse All,Explorador Mostrar
Rotate,Mover,Scale,World View,Local Coordinate,Camara Coordenadas,Destacar,Iluminacion,Grabar,Empezar,Create Project,Reload P,Undo Last Action,Redo,IDE,Reload Game,Build Project,Build and Run,Cancel Build,Paquete Crear,Folder Crear,Mostrar Propiedades,Rename Package,Folder Renombrar,Item Borrar,Expand Folder,Expandir Todos,Collapse All,Mostrar en Explorador
Rotate,Translate,Calibrar,World Coordinate,Coordenadas Local,Camara Coordenadas,Destacar,Light,Registrar,Empezar,Create Project,Reload Project,Deshacer accion,Redo Last Action,IDE,Game Reload,Contruir Proyecto,Construir y Correr,Cancelar Build,Create Package,Folder Crear,Mostrar Propiedades,Paquete Renombrar,Renombrar Folder,Borrar Item,Expand Folder,Expandir Todos,Collapsar Todos,Mostrar en Explorador
Voltear,Translate,Redimensionar,World Coordinates,Coordenadas Local,Camara Coordenadas,Escoger,Iluminacion,Grabar,Iniciar,Create P,Reload Project,Undo Last Action,Redo Last Action,Open IDE,Juego Recargar,Proyecto Construir,Construir y Correr,Cancelar Build,Crear Paquete,Create Folder,Display Property,Renombrar Paquete,Folder Renombrar,Item Borrar,Folder Expandir,Todos Expandir,Todos Collapsar,Mostrar en Explorador
Rotar,Transladar,Scale,Mundo,Locales,Coordenadas Camara,Escoger,Alumbrado,Registrar,Iniciar,Create Project,Reload P,Undo,Rehacer,Open IDE,Game Reload,Build Project,Construir y Correr,Cancel Build,Crear Paquete,Folder Create,Mostrar Propiedades,Paquete Renombrar,Renombrar Folder,Item Borrar,Expandir Folder,Expandir Todos,Collapsar Todos,Explorador Mostrar
Rotate,Mover,Calibrar,Mundo,Local Coordinates,Camara Coordenadas,Elegir,Luz,Grabar,Abrir,Crear Proyecto,Proyecto Recargar,Undo Last Action,Rehacer accion,IDE,Game Reload,Build Project,Construir y Correr,Cancelar Build,Paquete Crear,Folder Create,Mostrar Propiedades,Package Rename,Renombrar Folder,Borrar Item,Folder Expandir,Expandir Todos,Collapsar Todos,Explorador Mostrar
Rotate,Mover,Redimensionar,Coordenadas Mundo,Local Coordinate,Coordenadas Camara,Elegir,Luz,Registrar,Open,Crear Proyecto,Reload Project,Deshacer,Redo Last Action,Open IDE,Juego Recargar,Proyecto Construir,Contruir y Comenzar,Cancel Build,Package Create,Create Folder,Mostrar Propiedades,Renombrar Paquete,Folder Renombrar,Delete Item,Expandir Folder,All Expand,Collapsar Todos,Show in Explorer
Voltear,Mover,Scale,Coordenada Mundo,Coordenada Local,Camara,Destacar,Luz,Grabar,Open,Create Project,Reload Project,Undo,Redo,IDE,Recargar Juego,Contruir Proyecto,Construir y Correr,Build Cancelar,Package Create,Crear Folder,Mostrar Propiedades,Rename Package,Folder Renombrar,Borrar Item,Folder Expand,Todos Expandir,Collapsar Todos,Explorer Show
Girar,Translate,Scale,World Coordinate,Coordenadas Local,Camara,Elegir,Alumbrado,Save,Open,Crear Proyecto,Reload Project,Deshacer accion,Redo,IDE,Reload Game,Proyecto Construir,Contruir y Comenzar,Cancelar Build,Create Package,Folder Crear,Propiedades Mostrar,Rename Package,Folder Renombrar,Delete Item,Folder Expandir,All Expand,Collapsar Todos,Mostrar en Explorador
Voltear,Transladar,Redimensionar,Mundo,Locales,Coordenadas Camara,Escoger,Alumbrado,Grabar,Iniciar,Create Project,Recargar Proyecto,Undo Last Action,Redo,Open IDE,Juego Recargar,Build Project,Build and Run,Cancel Build,Paquete Crear,Create Folder,Mostrar Propiedades,Rename Package,Folder Renombrar,Item Borrar,Expand Folder,Expandir Todos,Collapsar Todos,Show in Explorer
Rotate,Translate,Calibrar,Coordenada Mundo,Local Coordinate,Coordenadas Camara,Destacar,Light,Registrar,Iniciar,Create Project,Proyecto Recargar,Undo,Rehacer,IDE,Game Reload,Build Project,Build and Start,Cancelar Build,Create Package,Create Folder,Mostrar Propiedades,Rename Package,Renombrar Folder,Item Delete,Expand Folder,Expand All,All Collapse,Explorer Show
Girar,Transladar,Redimensionar,World Coordinate,Coordenada Local,Camara Coordenadas,Destacar,Light,Grabar,Abrir,Create Project,Reload P,Undo Last Action,Rehacer,Abrir IDE,Game Reload,Proyecto Construir,Construir y Correr,Build Cancel,Crear Paquete,Folder Create,Display Property,Paquete Renombrar,Folder Renombrar,Borrar Item,Expandir Folder,Todos Expandir,Collapsar Todos,Explorador Mostrar
Rotar,Mover,Escalar,World View,Coordenadas Local,Camara Coordenada,Destacar,Light,Guardar,Iniciar,Create P,Recargar Proyecto,Undo Last Action,Redo,Open IDE,Juego Recargar,Proyecto Construir,Construir y Correr,Cancel Build,Create Package,Create Folder,Mostrar Propiedades,Package Rename,Renombrar Folder,Item Delete,Folder Expand,Expand All,Collapse All,Explorador Mostrar
Rotar,Translate,Redimensionar,Mundo,Local,Camara,Escoger,Luz,Save,Abrir,Create Project,Reload P,Undo Last Action,Redo Last Action,Open IDE,Reload Game,Build Project,Contruir y Comenzar,Cancel Build,Package Create,Folder Create,Propiedades Mostrar,Renombrar Paquete,Folder Renombrar,Item Delete,Folder Expandir,Todos Expandir,Collapsar Todos,Explorer Show
Girar,Mover,Escalar,World View,Local Coordinate,Camara Coordenada,Elegir,Light,Save,Iniciar,Create P,Reload P,Deshacer accion,Rehacer accion,Abrir IDE,Game Reload,Contruir Proyecto,Construir y Correr,Build Cancelar,Create Package,Folder Crear,Mostrar Propiedades,Rename Package,Renombrar Folder,Item Delete,Expandir Folder,Expandir Todos,Todos Collapsar,Mostrar en Explorador
Girar,Translate,Scale,Coordenadas Mundo,Local,Coordenada Camara,Destacar,Iluminacion,Grabar,Abrir,Create Project,Reload P,Undo Last Action,Redo Last Action,IDE,Recargar Juego,Proyecto Construir,Contruir y Comenzar,Cancelar Build,Package Create,Folder Create,Propiedades Mostrar,Package Rename,Rename Folder,Borrar Item,Expand Folder,Expandir Todos,All Collapse,Explorador Mostrar
Rotate,Mover,Redimensionar,World View,Coordenada Local,Camara Coordenada,Elegir,Alumbrado,Grabar,Open,Proyecto Crear,Reload P,Undo Last Action,Redo Last Action,Open IDE,Game Reload,Build,Build and Run,Build Cancelar,Package Create,Crear Folder,Propiedades Mostrar,Renombrar Paquete,Renombrar Folder,Delete Item,Folder Expandir,Todos Expandir,Collapsar Todos,Explorer Show
Voltear,Mover,Redimensionar,World Coordinate,Locales,Camera Coordinates,Elegir,Iluminacion,Grabar,Open,Create P,Proyecto Recargar,Undo Last Action,Redo Last Action,Abrir IDE,Game Reload,Contruir Proyecto,Build and Run,Cancelar Build,Package Create,Crear Folder,Display Property,Paquete Renombrar,Rename Folder,Item Borrar,Folder Expandir,Todos Expandir,Collapsar Todos,Explorador Mostrar
Voltear,Transladar,Redimensionar,World Coordinates,Coordenadas Local,Coordenada Camara,Seleccionar,Alumbrado,Registrar,Iniciar,Create P,Reload Project,Deshacer accion,Rehacer accion,Abrir IDE,Recargar Juego,Contruir Proyecto,Construir y Correr,Cancelar Build,Paquete Crear,Folder Crear,Mostrar Propiedades,Renombrar Paquete,Folder Renombrar,Item Delete,Expand Folder,All Expand,Collapse All,Mostrar en Explorador
Girar,Transladar,Redimensionar,Coordenadas Mundo,Locales,Coordenada Camara,Seleccionar,Light,Save,Iniciar,Create P,Reload P,Undo,Rehacer accion,Open IDE,Juego Recargar,Build Project,Construir y Correr,Build Cancel,Paquete Crear,Folder Create,Propiedades Mostrar,Paquete Renombrar,Rename Folder,Item Borrar,Folder Expandir,Todos Expandir,Todos Collapsar,Mostrar en Explorador
Girar,Move,Redimensionar,World Coordinate,Local Coordinate,Coordenada Camara,Seleccionar,Iluminacion,Save,Open,Create Project,Reload Project,Undo Last Action,Rehacer accion,IDE,Juego Recargar,Contruir Proyecto,Construir y Correr,Build Cancelar,Crear Paquete,Folder Crear,Propiedades Mostrar,Renombrar Paquete,Rename Folder,Borrar Item,Folder Expand,Todos Expandir,All Collapse,Explorador Mostrar
Rotar,Transladar,Scale,World Coordinates,Local,Camara Coordenadas,Escoger,Iluminacion,Grabar,Abrir,Proyecto Crear,Reload P,Undo,Rehacer,IDE,Juego Recargar,Contruir Proyecto,Contruir y Comenzar,Cancelar Build,Create Package,Folder Crear,Propiedades Mostrar,Renombrar Paquete,Package Folder,Item Borrar,Folder Expand,Expandir Todos,Collapsar Todos,Explorer Show
Girar,Translate,Redimensionar,Coordenadas Mundo,Local,Camara Coordenadas,Destacar,Alumbrado,Grabar,Iniciar,Create Project,Reload Project,Undo Last Action,Redo Last Action,Abrir IDE,Recargar Juego,Contruir Proyecto,Construir y Correr,Build Cancelar,Crear Paquete,Create Folder,Mostrar Propiedades,Renombrar Paquete,Folder Renombrar,Delete Item,Folder Expandir,All Expand,Collapse All,Explorador Mostrar
Girar,Mover,Calibrar,Coordenadas Mundo,Locales,Camara,Destacar,Iluminacion,Guardar,Open,Proyecto Crear,Recargar Proyecto,Undo,Rehacer accion,Abrir IDE,Reload Game,Proyecto Construir,Construir y Correr,Build Cancelar,Paquete Crear,Folder Crear,Propiedades Mostrar,Renombrar Paquete,Package Folder,Borrar Item,Expand Folder,Expandir Todos,All Collapse,Explorador Mostrar
Rotate,Translate,Scale,Coordenada Mundo,Coordenadas Local,Camara Coordenada,Destacar,Alumbrado,Grabar,Iniciar,Proyecto Crear,Reload P,Undo,Redo Last Action,Open IDE,Juego Recargar,Build Project,Build and Start,Build Cancelar,Crear Paquete,Folder Crear,Display Property,Package Rename,Package Folder,Item Delete,Expandir Folder,Todos Expandir,Collapsar Todos,Show in Explorer
Rotar,Move,Calibrar,Mundo,Local Coordinates,Coordenada Camara,Destacar,Alumbrado,Grabar,Empezar,Create Project,Proyecto Recargar,Deshacer,Rehacer accion,Abrir IDE,Reload Game,Proyecto Construir,Construir y Correr,Cancelar Build,Paquete Crear,Create Folder,Mostrar Propiedades,Paquete Renombrar,Rename Folder,Item Borrar,Folder Expand,Todos Expandir,Todos Collapsar,Mostrar en Explorador
Girar,Transladar,Redimensionar,Coordenada Mundo,Local,Camara Coordenadas,Destacar,Alumbrado,Save,Open,Proyecto Crear,Reload P,Deshacer accion,Redo,Abrir IDE,Game Reload,Contruir Proyecto,Contruir y Comenzar,Cancelar Build,Crear Paquete,Folder Crear,Mostrar Propiedades,Renombrar Paquete,Rename Folder,Borrar Item,Expandir Folder,Expandir Todos,Collapsar Todos,Explorer Show
Rotar,Mover,Scale,Coordenadas Mundo,Locales,Coordenada Camara,Destacar,Alumbrado,Registrar,Iniciar,Create Project,Reload P,Undo,Redo Last Action,IDE,Game Reload,Proyecto Construir,Build and Start,Build Cancel,Paquete Crear,Folder Crear,Propiedades Mostrar,Paquete Renombrar,Rename Folder,Item Borrar,Expand Folder,Expandir Todos,Collapsar Todos,Explorador Mostrar
Rotate,Move,Redimensionar,Coordenadas Mundo,Locales,Coordenadas Camara,Escoger,Iluminacion,Guardar,Abrir,Proyecto Crear,Reload P,Deshacer accion,Redo,IDE,Game Reload,Build,Contruir y Comenzar,Cancel Build,Paquete Crear,Create Folder,Display Property,Renombrar Paquete,Rename Folder,Borrar Item,Folder Expandir,Expand All,Todos Collapsar,Mostrar en Explorador
Rotar,Mover,Escalar,World View,Local Coordinate,Coordenada Camara,Destacar,Alumbrado,Grabar,Abrir,Create Project,Reload P,Undo Last Action,Rehacer,IDE,Game Reload,Build Project,Build and Run,Cancelar Build,Crear Paquete,Folder Create,Display Property,Package Rename,Renombrar Folder,Item Delete,Expandir Folder,Todos Expandir,Todos Collapsar,Mostrar en Explorador
Rotate,Translate,Calibrar,Mundo,Local,Camera Coordinates,Seleccionar,Light,Registrar,Iniciar,Create Project,Reload Project,Deshacer accion,Redo Last Action,IDE,Game Reload,Contruir Proyecto,Contruir y Comenzar,Build Cancelar,Paquete Crear,Crear Folder,Propiedades Mostrar,Package Rename,Renombrar Folder,Item Delete,Folder Expandir,Todos Expandir,All Collapse,Show in Explorer
Rotate,Translate,Scale,World View,Coordenadas Local,Camara,Elegir,Light,Grabar,Open,Create P,Proyecto Recargar,Undo Last Action,Redo Last Action,Open IDE,Game Reload,Contruir Proyecto,Build and Run,Build Cancelar,Paquete Crear,Create Folder,Mostrar Propiedades,Package Rename,Rename Folder,Delete Item,Folder Expand,Todos Expandir,Collapse All,Mostrar en Explorador
Rotar,Mover,Scale,World View,Coordenada Local,Coordenadas Camara,Destacar,Luz,Registrar,Iniciar,Create P,Recargar Proyecto,Undo,Rehacer accion,Open IDE,Game Reload,Contruir Proyecto,Build and Start,Cancelar Build,Create Package,Folder Crear,Property Display,Rename Package,Rename Folder,Borrar Item,Folder Expand,All Expand,Collapsar Todos,Explorador Mostrar
Rotate,Move,Calibrar,Coordenadas Mundo,Local Coordinates,Camara Coordenada,Elegir,Luz,Grabar,Abrir,Create P,Proyecto Recargar,Undo Last Action,Rehacer,Abrir IDE,Juego Recargar,Contruir Proyecto,Construir y Correr,Cancel Build,Package Create,Folder Crear,Propiedades Mostrar,Package Rename,Renombrar Folder,Item Borrar,Expandir Folder,All Expand,Collapsar Todos,Show in Explorer
Rotate,Translate,Redimensionar,World Coordinates,Coordenadas Local,Coordenadas Camara,Escoger,Light,Registrar,Iniciar,Crear Proyecto,Reload Project,Deshacer,Redo,IDE,Recargar Juego,Proyecto Construir,Build and Start,Cancel Build,Crear Paquete,Folder Crear,Property Display,Package Rename,Renombrar Folder,Delete Item,Folder Expandir,Expandir Todos,Todos Collapsar,Mostrar en Explorador
Girar,Move,Calibrar,Mundo,Locales,Coordenadas Camara,Escoger,Luz,Guardar,Open,Create P,Recargar Proyecto,Deshacer accion,Redo Last Action,Abrir IDE,Recargar Juego,Build Project,Contruir y Comenzar,Cancelar Build,Crear Paquete,Folder Crear,Property Display,Package Rename,Renombrar Folder,Borrar Item,Expandir Folder,All Expand,Collapsar Todos,Mostrar en Explorador
Rotate,Mover,Redimensionar,Mundo,Coordenada Local,Coordenadas Camara,Escoger,Light,Grabar,Empezar,Create P,Reload P,Undo,Redo,Open IDE,Recargar Juego,Proyecto Construir,Build and Run,Cancelar Build,Create Package,Folder Crear,Propiedades Mostrar,Package Rename,Renombrar Folder,Borrar Item,Expand Folder,Expand All,Collapse All,Explorador Mostrar
Girar,Translate,Redimensionar,Mundo,Coordenada Local,Coordenadas Camara,Escoger,Alumbrado,Grabar,Iniciar,Create Project,Reload P,Deshacer accion,Redo Last Action,Abrir IDE,Recargar Juego,Build Project,Build and Run,Cancelar Build,Crear Paquete,Folder Crear,Display Property,Renombrar Paquete,Rename Folder,Delete Item,Folder Expandir,Todos Expandir,Todos Collapsar,Mostrar en Explorador
Girar,Transladar,Scale,Coordenada Mundo,Local Coordinates,Coordenada Camara,Escoger,Iluminacion,Registrar,Iniciar,Crear Proyecto,Recargar Proyecto,Deshacer accion,Redo Last Action,Abrir IDE,Game Reload,Proyecto Construir,Build and Run,Build Cancel,Crear Paquete,Folder Crear,Property Display,Paquete Renombrar,Rename Folder,Item Borrar,Folder Expand,Todos Expandir,Collapsar Todos,Explorer Show
Girar,Translate,Redimensionar,World View,Coordenadas Local,Camara Coordenada,Escoger,Luz,Save,Empezar,Proyecto Crear,Proyecto Recargar,Undo Last Action,Rehacer,Abrir IDE,Juego Recargar,Contruir Proyecto,Contruir y Comenzar,Cancelar Build,Create Package,Folder Create,Mostrar Propiedades,Package Rename,Renombrar Folder,Item Delete,Expandir Folder,Expandir Todos,Todos Collapsar,Mostrar en Explorador
Girar,Transladar,Scale,World Coordinate,Coordenadas Local,Coordenadas Camara,Escoger,Luz,Grabar,Abrir,Proyecto Crear,Reload P,Undo Last Action,Rehacer accion,Abrir IDE,Reload Game,Proyecto Construir,Construir y Correr,Cancel Build,Create Package,Folder Crear,Property Display,Renombrar Paquete,Renombrar Folder,Item Borrar,Expandir Folder,Expandir Todos,Collapsar Todos,Show in Explorer
Rotar,Transladar,Redimensionar,World View,Local,Camara,Destacar,Luz,Registrar,Open,Crear Proyecto,Reload P,Undo Last Action,Rehacer,Abrir IDE,Recargar Juego,Proyecto Construir,Construir y Correr,Cancelar Build,Package Create,Crear Folder,Property Display,Package Rename,Renombrar Folder,Borrar Item,Expandir Folder,All Expand,Collapsar Todos,Mostrar en Explorador
Voltear,Move,Escalar,Coordenada Mundo,Local Coordinates,Camara Coordenadas,Elegir,Light,Grabar,Open,Crear Proyecto,Reload P,Undo,Rehacer,Abrir IDE,Reload Game,Proyecto Construir,Contruir y Comenzar,Build Cancelar,Package Create,Folder Crear,Propiedades Mostrar,Renombrar Paquete,Folder Renombrar,Item Delete,Folder Expandir,Todos Expandir,All Collapse,Mostrar en Explorador
Rotate,Translate,Redimensionar,World View,Locales,Camara Coordenada,Escoger,Light,Guardar,Iniciar,Create Project,Reload Project,Undo Last Action,Rehacer accion,Open IDE,Recargar Juego,Build,Contruir y Comenzar,Cancelar Build,Package Create,Folder Crear,Propiedades Mostrar,Renombrar Paquete,Renombrar Folder,Item Borrar,Expand Folder,Expand All,Todos Collapsar,Show in Explorer
